#{"t_start": 1692092884.2849593, "env_id": "FetchPush-v2"}
r,l,t
-17.0,50,71.660802
-11.0,50,75.515324
-50.0,50,79.408101
-29.0,50,83.276536
0.0,50,100.342005
-20.0,50,104.227191
-50.0,50,108.106731
-50.0,50,111.978685
